Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
02.01.2021,04:45:00,41449.73,0,1.9
02.01.2021,05:00:00,41298.19,0,1.9
02.01.2021,05:15:00,42012.71,0,1.8
02.01.2021,05:30:00,42209.76,0,1.8
02.01.2021,05:45:00,42171.06,0,1.8
02.01.2021,06:00:00,42831.78,0,1.8
02.01.2021,06:15:00,43056.21,0,1.9
02.01.2021,06:30:00,43480.72,0,1.9
02.01.2021,06:45:00,43486.2,0,1.9
02.01.2021,07:00:00,43550.29,0,1.9
02.01.2021,07:15:00,43251.55,0,1.9
02.01.2021,07:30:00,43833.99,0,1.9
02.01.2021,07:45:00,44076,0,1.9
02.01.2021,08:00:00,44474.33,0,1.9
02.01.2021,08:15:00,44761.92,21.7,1.9
02.01.2021,08:30:00,44920.29,21.7,1.9
02.01.2021,08:45:00,44958.21,21.7,1.9
02.01.2021,09:00:00,45504.85,21.7,1.9
02.01.2021,09:15:00,46261.88,71.7,2.1
02.01.2021,09:30:00,46517.81,71.7,2.1
02.01.2021,09:45:00,46392.44,71.7,2.1
02.01.2021,10:00:00,46359.73,71.7,2.1
02.01.2021,10:15:00,46833.83,81.7,2.3
02.01.2021,10:30:00,47504.82,81.7,2.3
02.01.2021,10:45:00,47700.92,81.7,2.3
02.01.2021,11:00:00,48755.07,81.7,2.3
02.01.2021,11:15:00,48881.19,111.7,2.6
02.01.2021,11:30:00,49616.06,111.7,2.6
02.01.2021,11:45:00,49978.39,111.7,2.6
02.01.2021,12:00:00,49677.58,111.7,2.6
02.01.2021,12:15:00,48773.51,93.4,2.4
02.01.2021,12:30:00,48323.56,93.4,2.4
02.01.2021,12:45:00,48802.25,93.4,2.4
02.01.2021,13:00:00,48051.77,93.4,2.4
02.01.2021,13:15:00,50376.3,38.3,2.2
02.01.2021,13:30:00,50469.76,38.3,2.2
02.01.2021,13:45:00,50378.28,38.3,2.2
02.01.2021,14:00:00,50683.47,38.3,2.2
02.01.2021,14:15:00,51407.5,16.7,1.9
02.01.2021,14:30:00,51403.6,16.7,1.9
02.01.2021,14:45:00,50960.08,16.7,1.9
02.01.2021,15:00:00,51730.84,16.7,1.9
02.01.2021,15:15:00,52445.3,3.3,1.8
02.01.2021,15:30:00,52517.75,3.3,1.8
02.01.2021,15:45:00,52479.11,3.3,1.8
02.01.2021,16:00:00,52558.68,3.3,1.8
02.01.2021,16:15:00,53579.21,0,1.8
02.01.2021,16:30:00,54366.91,0,1.8
02.01.2021,16:45:00,56016.62,0,1.8
02.01.2021,17:00:00,57226.62,0,1.8
02.01.2021,17:15:00,59073.76,0,1.6
02.01.2021,17:30:00,58920.79,0,1.6
02.01.2021,17:45:00,60221.66,0,1.6
02.01.2021,18:00:00,60501.88,0,1.6
02.01.2021,18:15:00,61106.22,0,1.3
02.01.2021,18:30:00,60843.58,0,1.3
02.01.2021,18:45:00,59313.78,0,1.3
02.01.2021,19:00:00,59275.21,0,1.3
02.01.2021,19:15:00,58171.89,0,1
02.01.2021,19:30:00,57851.57,0,1
02.01.2021,19:45:00,56846.97,0,1
02.01.2021,20:00:00,55850.04,0,1
02.01.2021,20:15:00,55961.93,0,0.7
02.01.2021,20:30:00,55087.64,0,0.7
02.01.2021,20:45:00,53960.32,0,0.7
02.01.2021,21:00:00,52605.08,0,0.7
02.01.2021,21:15:00,53218.68,0,0.5
02.01.2021,21:30:00,52055.52,0,0.5
02.01.2021,21:45:00,51983.88,0,0.5
02.01.2021,22:00:00,50969.97,0,0.5
02.01.2021,22:15:00,52019.9,0,0.5
02.01.2021,22:30:00,52154.33,0,0.5
02.01.2021,22:45:00,52123.51,0,0.5
02.01.2021,23:00:00,51405.12,0,0.5
02.01.2021,23:15:00,51471.54,0,0.4
02.01.2021,23:30:00,50010.36,0,0.4
02.01.2021,23:45:00,49255.98,0,0.4
03.01.2021,00:00:00,48188.96,0,0.4
03.01.2021,00:15:00,48769.67,0,0.3
03.01.2021,00:30:00,47764.3,0,0.3
03.01.2021,00:45:00,47201.97,0,0.3
03.01.2021,01:00:00,45991.97,0,0.3
03.01.2021,01:15:00,46074.96,0,0.2
03.01.2021,01:30:00,44636.8,0,0.2
03.01.2021,01:45:00,44100.04,0,0.2
03.01.2021,02:00:00,43537.94,0,0.2
03.01.2021,02:15:00,43889.22,0,0.1
03.01.2021,02:30:00,43478.34,0,0.1
03.01.2021,02:45:00,43199.05,0,0.1
03.01.2021,03:00:00,42380.48,0,0.1
03.01.2021,03:15:00,42821.03,0,0.1
03.01.2021,03:30:00,42589.53,0,0.1
03.01.2021,03:45:00,42700.98,0,0.1
03.01.2021,04:00:00,42319.05,0,0.1
03.01.2021,04:15:00,42175.82,0,0.1
03.01.2021,04:30:00,41904.35,0,0.1
03.01.2021,04:45:00,41604.97,0,0.1
03.01.2021,05:00:00,42155.1,0,0.1
03.01.2021,05:15:00,42616.59,0,0.1
